PosiciónHash	Token	NumDocs	PosPosting
753	-	0	-1
754	-	0	-1
755	bout	1	126
756	-	0	-1
757	-	0	-1
758	-	0	-1
759	form	1	434
760	-	0	-1
761	auditors	1	87
762	-	0	-1
763	-	0	-1
764	-	0	-1
765	transactions	1	1103
766	another	2	56
767	-	0	-1
768	-	0	-1
769	-	0	-1
770	-	0	-1
771	-	0	-1
772	allow	1	44
773	georgetown	1	455
774	create	1	241
775	deserve	1	280
776	-	0	-1
777	-	0	-1
778	-	0	-1
779	-	0	-1
780	-	0	-1
781	-	0	-1
782	-	0	-1
783	-	0	-1
784	commissioner	1	173
785	-	0	-1
786	due	1	327
787	-	0	-1
788	-	0	-1
789	-	0	-1
790	-	0	-1
791	establish	1	376
792	ninety	1	730
793	quarter	1	883
794	expensive	1	392
795	lines	1	649
796	-	0	-1
797	-	0	-1
798	no	1	731
799	prevent	1	847
800	others	1	770
801	punctuation	1	879
802	threats	1	1091
803	demanded	1	268
804	shield	1	987
805	they	1	1081
806	poses	1	828
807	ultimately	1	1117
808	be	1	101
809	-	0	-1
810	-	0	-1
811	-	0	-1
812	-	0	-1
813	before	1	107
814	-	0	-1
815	-	0	-1
816	-	0	-1
817	designed	3	282
818	kohl	1	620
819	-	0	-1
820	-	0	-1
821	hearing	1	498
822	moreover	1	701
823	bolan	1	122
824	harmed	1	485
825	janlori	1	599
826	non-profit	1	732
827	used	1	1134
828	-	0	-1
829	americans	1	50
830	-	0	-1
831	-	0	-1
832	-	0	-1
833	-	0	-1
834	printouts	1	852
835	text	3	1062
836	-	0	-1
837	members	1	689
838	mishandle	1	693
839	amend	1	48
840	histories	1	505
841	westin	1	1160
842	-	0	-1
843	baker	1	95
844	fail	1	399
845	academy	1	11
846	-	0	-1
847	-	0	-1
848	-	0	-1
849	could	1	229
850	violations	1	1143
851	-	0	-1
852	-	0	-1
853	-	0	-1
854	joined	1	607
855	-	0	-1
856	-	0	-1
857	-	0	-1
858	-	0	-1
859	enough	1	361
860	into	1	579
861	human	1	521
862	databases	1	259
863	improperly	1	538
864	impact	1	532
865	employee	1	345
866	internal	1	576
867	increase	1	549
868	-	0	-1
869	kathleen	1	613
870	exists	1	388
871	-	0	-1
872	-	0	-1
873	sessions	1	977
874	researchers	1	925
875	payment	1	802
876	found	1	439
877	collection	1	167
878	logged	1	654
879	drive	1	325
880	relegating	1	910
881	-	0	-1
882	-	0	-1
883	any	1	59
884	see	2	964
885	fails	1	400
886	degrees	1	266
887	trust	1	1113
888	even	1	381
889	-	0	-1
890	enhancing	1	360
891	ask	1	73
892	-	0	-1
893	-	0	-1
894	-	0	-1
895	shortcomings	1	988
896	-	0	-1
897	ceos	1	146
898	gostin	1	465
899	craig	1	240
900	-	0	-1
901	webmaster	1	1152
902	has	4	489
903	lawsuit	1	629
904	regulating	1	903
905	-	0	-1
906	-	0	-1
907	jgauch	1	602
908	lower	1	659
909	nearly	1	716
910	coalitions	1	165
911	patients	1	798
912	concerns	1	191
913	controls	1	220
914	sensitive	1	973
915	affairs	1	30
916	-	0	-1
917	-	0	-1
918	failure	1	401
919	-	0	-1
920	tags	1	1043
921	faxed	1	406
922	-	0	-1
923	-	0	-1
924	-	0	-1
925	computer	1	185
926	-	0	-1
927	-	0	-1
928	vulnerability	1	1144
929	governing	1	467
930	-	0	-1
931	superhighway	1	1033
932	-	0	-1
933	systems	1	1041
934	-	0	-1
935	changing	1	149
936	-	0	-1
937	have	1	494
938	-	0	-1
939	-	0	-1
940	-	0	-1
941	-	0	-1
942	becomes	1	105
943	contained	1	212
944	actress	1	19
945	leaves	1	635
946	reputation	1	919
947	well-publicized	1	1156
948	-	0	-1
949	currently	1	250
950	grams	1	470
951	-	0	-1
952	-	0	-1
953	-	0	-1
954	-	0	-1
955	-	0	-1
956	critical	1	245
957	-	0	-1
958	-	0	-1
959	paul	1	800
960	-	0	-1
961	reported	1	915
962	-	0	-1
963	expectation	1	390
964	for	2	431
965	if	2	527
966	known	1	619
967	posted	1	831
968	reintroduced	1	906
969	share	1	983
970	florida	1	425
971	tested	1	1058
972	-	0	-1
973	-	0	-1
974	-	0	-1
975	-	0	-1
976	decision	1	264
977	support	1	1034
978	-	0	-1
979	cumbersome	1	248
980	-	0	-1
981	much	1	706
982	component	1	181
983	development	1	293
984	-	0	-1
985	-	0	-1
986	key	1	617
987	-	0	-1
988	-	0	-1
989	access	1	12
990	wronged	1	1180
991	stories	1	1020
992	-	0	-1
993	os	1	767
994	state	1	1011
995	-	0	-1
996	-	0	-1
997	-	0	-1
998	continue	1	216
999	-	0	-1
1000	-	0	-1
1001	psychotherapy	1	875
1002	association	1	77
1003	following	1	429
1004	detailing	1	287
1005	-	0	-1
1006	expert	1	393
1007	-	0	-1
1008	-	0	-1
1009	-	0	-1
1010	-	0	-1
1011	-	0	-1
1012	-	0	-1
1013	-	0	-1
1014	responsibility	1	927
1015	-	0	-1
1016	benefit	1	113
1017	-	0	-1
1018	university	1	1125
1019	direct	1	301
1020	mary	1	673
1021	news	1	726
1022	statement	1	1014
1023	attempting	1	83
1024	-	0	-1
1025	-	0	-1
1026	-	0	-1
1027	-	0	-1
1028	office	1	749
1029	excessive	1	386
1030	outward	1	777
1031	-	0	-1
1032	new	1	724
1033	contracts	1	218
1034	revolution	1	935
1035	-	0	-1
1036	-	0	-1
1037	concede	1	190
1038	-	0	-1
1039	-	0	-1
1040	simply	1	995
1041	arena	1	70
1042	-	0	-1
1043	publicized	1	877
1044	-	0	-1
1045	dole	1	321
1046	affect	1	31
1047	horror	1	513
1048	-	0	-1
1049	easier	1	330
1050	lose	1	655
1051	engage	1	357
1052	computerizing	1	188
1053	-	0	-1
1054	incorporated	1	548
1055	though	1	1090
1056	today	1	1098
1057	home	2	508
1058	indicate	1	552
1059	-	0	-1
1060	-	0	-1
1061	-	0	-1
1062	between	1	116
1063	-	0	-1
1064	practices	1	833
1065	putting	1	881
1066	-	0	-1
1067	-	0	-1
1068	regain	1	902
1069	demotion	1	272
1070	old	1	750
1071	promise	1	862
1072	develop	1	291
1073	security	1	963
1074	testify	1	1059
1075	fearing	1	408
1076	this	4	1084
1077	transportation	1	1107
1078	work	1	1175
1079	entering	1	364
1080	-	0	-1
1081	cigna	1	151
1082	balance	1	96
1083	having	1	495
1084	she	1	985
1085	-	0	-1
1086	either	1	339
1087	-	0	-1
1088	-	0	-1
1089	-	0	-1
1090	nurses	1	742
1091	compromised	1	184
1092	ironically	1	584
1093	laws	1	628
1094	only	1	755
1095	important	1	535
1096	prepared	1	841
1097	-	0	-1
1098	we	1	1151
1099	-	0	-1
1100	-	0	-1
1101	-	0	-1
1102	-	0	-1
1103	-	0	-1
1104	-	0	-1
1105	-	0	-1
1106	-	0	-1
1107	-	0	-1
1108	-	0	-1
1109	unobtrusively	1	1126
1110	scale	1	956
1111	finance	1	422
1112	-	0	-1
1113	industry	1	556
1114	international	1	577
1115	-	0	-1
1116	control	1	219
1117	-	0	-1
1118	-	0	-1
1119	-	0	-1
1120	assuring	1	79
1121	-	0	-1
1122	more	1	700
1123	protect	1	866
1124	-	0	-1
1125	-	0	-1
1126	-	0	-1
1127	-	0	-1
1128	-	0	-1
1129	-	0	-1
1130	-	0	-1
1131	professionals	1	858
1132	-	0	-1
1133	circuit	1	154
1134	clinical	1	161
1135	condit	1	194
1136	-	0	-1
1137	-	0	-1
1138	-	0	-1
1139	overturned	1	783
1140	diagnosis	1	294
1141	-	0	-1
1142	appreciate	1	62
1143	-	0	-1
1144	someone	1	1003
1145	arkansas	1	71
1146	outweighed	1	778
1147	an	1	53
1148	-	0	-1
1149	-	0	-1
1150	-	0	-1
1151	-	0	-1
1152	-	0	-1
1153	demand	1	267
1154	-	0	-1
1155	-	0	-1
1156	columbia	1	169
1157	-	0	-1
1158	flow	1	426
1159	-	0	-1
1160	-	0	-1
1161	difficulty	1	298
1162	went	1	1157
1163	-	0	-1
1164	-	0	-1
1165	-	0	-1
1166	cross	1	246
1167	enacting	1	351
1168	policies	1	823
1169	undermine	1	1121
1170	-	0	-1
1171	student	1	1023
1172	dissenting	1	313
1173	alan	1	39
1174	city	1	155
1175	invasions	1	582
1176	open	1	757
1177	-	0	-1
1178	-	0	-1
1179	-	0	-1
1180	blood	1	120
1181	foster	1	438
1182	lead	1	630
1183	participation	1	794
1184	-	0	-1
1185	-	0	-1
1186	-	0	-1
1187	-	0	-1
1188	agreed	1	35
1189	gregg	1	472
1190	crafting	1	239
1191	stated	1	1013
1192	-	0	-1
1193	pose	1	827
1194	sales	1	953
1195	magnitude	1	661
1196	detailed	1	286
1197	research	1	924
1198	projects	1	861
1199	-	0	-1
1200	-	0	-1
1201	-	0	-1
1202	its	1	595
1203	-	0	-1
1204	-	0	-1
1205	a13	1	2
1206	suicide	1	1032
1207	paying	1	801
1208	editorials	1	332
1209	-	0	-1
1210	-	0	-1
1211	withhold	1	1171
1212	american	1	49
1213	-	0	-1
1214	-	0	-1
1215	statute	1	1017
1216	panelists	1	790
1217	-	0	-1
1218	-	0	-1
1219	ii	1	529
1220	-	0	-1
1221	-	0	-1
1222	eight	1	337
1223	imperative	1	534
1224	-	0	-1
1225	-	0	-1
1226	practicing	1	834
1227	-	0	-1
1228	-	0	-1
1229	-	0	-1
1230	-	0	-1
1231	costly	1	227
1232	improved	1	539
1233	necessary	1	717
1234	rights	1	938
1235	-	0	-1
1236	lewers	1	643
1237	-	0	-1
1238	sheer	1	986
1239	-	0	-1
1240	-	0	-1
1241	-	0	-1
1242	-	0	-1
1243	english	1	358
1244	chemical	1	150
1245	org	1	764
1246	applications	1	61
1247	-	0	-1
1248	-	0	-1
1249	-	0	-1
1250	-	0	-1
1251	deputy	1	279
1252	-	0	-1
1253	-	0	-1
1254	-	0	-1
1255	termed	1	1054
1256	-	0	-1
1257	-	0	-1
1258	sexually	1	981
1259	-	0	-1
1260	-	0	-1
1261	-	0	-1
1262	these	1	1080
1263	-	0	-1
1264	predict	1	836
1265	public	1	876
1266	-	0	-1
1267	appeals	1	60
1268	-	0	-1
1269	agencies	1	34
1270	-	0	-1
1271	-	0	-1
1272	numbers	1	739
1273	court	1	235
1274	cannot	1	140
1275	questions	1	884
1276	-	0	-1
1277	-	0	-1
1278	lewin	1	644
1279	-	0	-1
1280	-	0	-1
1281	-	0	-1
1282	-	0	-1
1283	-	0	-1
1284	-	0	-1
1285	-	0	-1
1286	then	2	1075
1287	-	0	-1
1288	tactics	1	1042
1289	-	0	-1
1290	-	0	-1
1291	-	0	-1
1292	values	1	1137
1293	-	0	-1
1294	co-workers	1	164
1295	honest	1	510
1296	plans	1	821
1297	transmission	1	1105
1298	counselors	1	231
1299	-	0	-1
1300	-	0	-1
1301	civil	1	156
1302	peoples	1	810
1303	wanted	1	1146
1304	-	0	-1
1305	-	0	-1
1306	-	0	-1
1307	grows	1	475
1308	-	0	-1
1309	-	0	-1
1310	-	0	-1
1311	-	0	-1
1312	azt	1	93
1313	-	0	-1
1314	-	0	-1
1315	-	0	-1
1316	forming	1	435
1317	january	1	600
1318	campaign	1	137
1319	-	0	-1
1320	worst	1	1178
1321	networked	1	722
1322	-	0	-1
1323	-	0	-1
1324	-	0	-1
1325	-	0	-1
1326	www	1	1181
1327	experts	1	394
1328	misuse	1	696
1329	-	0	-1
1330	d-vt	1	252
1331	computers	1	189
1332	dependents	1	276
1333	disclosure	1	307
1334	jury	1	611
1335	evil	1	382
1336	left	1	636
1337	proper	1	864
1338	themselves	1	1074
1339	well-documented	1	1155
1340	act	1	17
1341	-	0	-1
1342	of	2	747
1343	need	1	718
1344	-	0	-1
1345	-	0	-1
1346	handle	1	481
1347	concluded	1	192
1348	vulnerable	1	1145
1349	-	0	-1
1350	-	0	-1
1351	-	0	-1
1352	company	1	179
1353	established	1	377
1354	-	0	-1
1355	-	0	-1
1356	-	0	-1
1357	design	1	281
1358	time	1	1093
1359	dedicated	1	265
1360	-	0	-1
1361	-	0	-1
1362	award	1	92
1363	-	0	-1
1364	-	0	-1
1365	med	1	682
1366	employment	1	349
1367	fiduciary	1	412
1368	national	1	715
1369	-	0	-1
1370	-	0	-1
1371	-	0	-1
1372	-	0	-1
1373	congress	1	202
1374	group	1	473
1375	move	1	704
1376	also	1	45
1377	-	0	-1
1378	-	0	-1
1379	-	0	-1
1380	-	0	-1
1381	-	0	-1
1382	-	0	-1
1383	data	1	257
1384	-	0	-1
1385	-	0	-1
1386	-	0	-1
1387	simon	1	992
1388	-	0	-1
1389	-	0	-1
1390	people	2	808
1391	-	0	-1
1392	promote	1	863
1393	rested	1	928
1394	associated	1	76
1395	contents	1	215
1396	-	0	-1
1397	-	0	-1
1398	-	0	-1
1399	comply	1	180
1400	-	0	-1
1401	-	0	-1
1402	-	0	-1
1403	-	0	-1
1404	buttressing	1	134
1405	-	0	-1
1406	-	0	-1
1407	issued	1	590
1408	mark-up	1	671
1409	efforts	1	336
1410	accessible	1	14
1411	-	0	-1
1412	-	0	-1
1413	-	0	-1
1414	-	0	-1
1415	suspicious	1	1039
1416	-	0	-1
1417	seen	1	968
1418	-	0	-1
1419	by	1	135
1420	clerks	1	159
1421	com	1	170
1422	her	1	502
1423	oversight	1	782
1424	months	1	699
1425	prosecuted	1	865
1426	that	2	1066
1427	-	0	-1
1428	-	0	-1
1429	-	0	-1
1430	such	1	1029
1431	legal	1	637
1432	computerization	1	186
1433	ms	1	705
1434	-	0	-1
1435	imposed	1	536
1436	-	0	-1
1437	denied	1	273
1438	warrant	1	1147
1439	resources	1	926
1440	-	0	-1
1441	-	0	-1
1442	prescription	1	843
1443	-	0	-1
1444	bound	1	125
1445	hold	1	507
1446	protection	1	869
1447	after	1	32
1448	analyzing	1	54
1449	essential	1	375
1450	individuals	1	555
1451	very	2	1139
1452	-	0	-1
1453	pennsylvania	1	806
1454	-	0	-1
1455	-	0	-1
1456	-	0	-1
1457	-	0	-1
1458	-	0	-1
1459	-	0	-1
1460	-	0	-1
1461	-	0	-1
