Token          N°Docs
indicate       1    
individual     1    
individually-id1    
individuals    1    
industry       1    
infection      1    
information    2    
infrastructure 1    
innovations    1    
instance       1    
instances      1    
instant        1    
institute      1    
institutions   1    
insufficiently 1    
insurance      1    
insurers       1    
integrity      1    
intended       1    
interactive    1    
interchange    1    
interest       1    
interesting    1    
internal       1    
international  1    
internet       1    
into           1    
intolerable    1    
introduced     1    
invasions      1    
iom            1    
ironically     1    
is             4    
issue          1    
issued         1    
it             4    
its            1    
itself         1    
iv             1    
jacksonville   1    
janlori        1    
january        1    
jeffords       1    
jgauch         1    
jim            1    
job            1    
joel           1    
john           1    
joined         1    
journalist     1    
judge          1    
june           1    
jury           1    
kassebaum      1    
kathleen       1    
keep           1    
kennedy        1    
kept           1    
key            1    
knowledge      1    
known          1    
kohl           1    
labor          1    
lack           1    
large          1    
larry          1    
last           2    
law            1    
laws           1    
lawsuit        1    
lead           1    
leaders        1    
leadership     1    
leahy          1    
leave          1    
leaves         1    
left           1    
legal          1    
legislation    1    
legislatures   1    
legitimate     1    
letters        1    
levels         1    
lewers         1    
lewin          1    
lewis          1    
liability      1    
lifetime       1    
limited        1    
lines          1    
linked         1    
live           1    
local          1    
location       1    
logged         1    
lose           1    
losing         1    
loss           1    
louis          1    
lower          1    
made           1    
magnitude      1    
major          1    
majority       1    
make           1    
makes          1    
malpractice    1    
managed        1    
management     1    
many           1    
march          1    
mark-up        1    
martin         1    
mary           1    
maryland       1    
massachusetts  1    
matthew        1    
may            1    
maybe          1    
mcdermott      1    
means          1    
mechanisms     1    
med            1    
media          1    
medic          1    
medicaid       1    
medical        1    
medicine       1    
medium         1    
members        1    
mib            1    
millions       1    
minimized      1    
mishandle      1    
mistakenly     1    
mistrust       1    
misuse         1    
monitor        1    
monitoring     1    
months         1    
more           1    
moreover       1    
most           1    
mother         1    
move           1    
ms             1    
much           1    
must           1    
my             2    
name           2    
names          1    
nan            1    
nation         1    
national       1    
nearly         1    
necessary      1    
need           1    
needed         1    
negative       1    
neighboring    1    
networked      1    
nevertheless   1    
new            1    
newly          1    
news           1    
newsday        1    
newspaper      1    
nickel         1    
ninety         1    
no             1    
non-profit     1    
non-treatment  1    
not            1    
notes          1    
nothing        1    
nrc            1    
number         1    
numbers        1    
numerous       1    
nurse          1    
nurses         1    
nydia          1    
obtain         1    
obtained       1    
occur          1    
of             2    
office         1    
old            1    
on             1    
once           1    
one            1    
ongoing        1    
only           1    
onto           1    
open           1    
operations     1    
opportunities  1    
opportunity    1    
or             2    
ordinary       1    
org            1    
organization   1    
organizational 1    
os             1    
ota            1    
other          1    
others         1    
our            1    
out            1    
out-of-pocket  1    
outcome        1    
outlines       1    
outside        1    
outward        1    
outweighed     1    
over           1    
overall        1    
overcoming     1    
oversight      1    
overturned     1    
overview       1    
own            1    
package        1    
page           2    
paid           1    
panelists      1    
paper          1    
part           1    
participate    1    
participation  1    
party          1    
passage        1    
patient        1    
patients       1    
patrick        1    
paul           1    
paying         1    
payment        1    
payor          1    
payors         1    
penalties      1    
pennsylvania   1    
penny          1    
people         2    
peoples        1    
percent        1    
perception     1    
personal       1    
personally     1    
ph             1    
physician      1    
physicians     1    
piecemeal      1    
place          1    
plan           1    
plans          1    
pointed        1    
policies       1    
policy         1    
policymakers   1    
portion        1    
pose           1    
poses          1    
positive       1    
possible       1    
posted         1    
potential      1    
practices      1    
practicing     1    
prank          1    
predict        1    
preempt        1    
preemptive     1    
pregnant       1    
premiums       1    
prepared       1    
preparing      1    
prescription   1    
presently      1    
preserving     1    
pressed        1    
prevent        1    
prevented      1    
price          1    
primary        1    
principles     1    
printouts      1    
prior          1    
privacy        1    
private        1    
problems       1    
produce        1    
professionals  1    
professor      1    
program        1    
projects       1    
promise        1    
promote        1    
proper         1    
prosecuted     1    
protect        1    
protected      1    
protecting     1    
protection     1    
protections    1    
protects       1    
providers      1    
providing      1    
psychiatric    1    
psychotherapy  1    
public         1    
publicized     1    
published      1    
punctuation    1    
purposes       1    
putting        1    
quality        1    
quarter        1    
questions      1    
r-ut           1    
rapidly        1    
rare           1    
realize        1    
receive        1    
received       1    
recently       1    
recipients     1    
recognize      1    
recommended    1    
recommending   1    
record         1    
records        1    
red            1    
redress        1    
reduction      1    
reform         1    
regain         1    
regulating     1    
regulations    1    
regulators     1    
reintroduced   1    
relationship   1    
relationships  1    
released       1    
relegating     1    
reluctant      1    
remain         1    
rep            1    
report         1    
reported       1    
representative 1    
representatives1    
representing   1    
reputation     1    
requested      1    
required       1    
requirement    1    
requiring      1    
research       1    
researchers    1    
resources      1    
responsibility 1    
rested         1    
result         1    
results        1    
retrieval      1    
revealed       1    
review         1    
reviewing      1    
revolution     1    
richard        1    
right          1    
rights         1    
riley          1    
ring           1    
risk           1    
risks          1    
risky          1    
robert         1    
roil           1    
rose           1    
routinely      1    
ruin           1    
ruled          1    
rules          1    
safeguards     1    
said           1    
sales          1    
sanctions      1    
says           1    
scale          1    
schemes        1    
school         1    
schwartz       1    
science        1    
seat           1    
secrets        1    
security       1    
see            2    
seeking        1    
seeks          1    
seen           1    
selling        1    
senate         1    
senator        1    
sending        1    
sensitive      1    
sentences      1    
sepulveda      1    
services       1    
sessions       1    
set            1    
settings       1    
seven          1    
sexually       1    
sgauch         1    
share          1    
sharing        1    
she            1    
sheer          1    
shield         1    
shortcomings   1    
should         1    
significant    1    
similar        1    
simon          1    
simple         2    
simply         1    
so             1    
social         1    
sold           1    
some           4    
someone        1    
sometimes      1    
southeastern   1    
specialists    1    
speech         1    
sponsored      1    
spotlight      1    
springfield    1    
state          1    
state-by-state 1    
stated         1    
statement      1    
states         1    
stations       1    
statute        1    
step           1    
stevens        1    
stories        1    
strict         1    
strong         1    
student        1    
studies        1    
study          1    
subcommittee   1    
subject        1    
submitted      1    
such           1    
suffered       1    
suggested      1    
suicide        1    
superhighway   1    
support        1    
surprised      1    
survey         1    
surveys        1    
susan          1    
suspicious     1    
system         1    
systems        1    
tactics        1    
tags           1    
take           1    
taken          1    
taking         1    
tamar          1    
tape           1    
taylor         1    
technological  1    
technologies   1    
technology     1    
television     1    
termed         1    
test           3    
tested         1    
testify        1    
testifying     1    
testimony      1    
text           3    
than           1    
that           2    
the            4    
their          1    
them           1    
themselves     1    
then           2    
then-senator   1    
there          2    
these          1    
they           1    
third          1    
third-party    1    
this           4    
thomas         1    
those          1    
though         1    
threats        1    
through        1    
time           1    
times          1    
to             3    
today          1    
told           1    
too            1    
towards        1    
traditional    1    
transactions   1    
transferred    1    
transmission   1    
transmitted    1    
transportation 1    
traveling      1    
treated        1    
treatment      1    
tricky         1    
troubling      1    
trust          1    
trustees       1    
twenty-five    1    
uark           1    
ultimately     1    
unaffected     1    
unattended     1    
unauthorized   1    
undermine      1    
undoubtedly    1    
unfettered     1    
uniform        1    
university     1    
unobtrusively  1    
unprotected    1    
urge           1    
urged          1    
urgently       1    
urinalysis     1    
us             1    
use            1    
used           1    
useful         1    
users          1    
values         1    
velazquez      1    
very           2    
victim         1    
violated       1    
violations     1    
vulnerability  1    
vulnerable     1    
wanted         1    
warrant        1    
was            1    
washington     1    
ways           1    
we             1    
webmaster      1    
wedi           1    
well-designed  1    
well-documented1    
well-publicized1    
went           1    
were           2    
westin         1    
where          1    
which          1    
while          1    
who            1    
whose          1    
widespread     1    
will           1    
win            1    
with           1    
withdraw       1    
withhold       1    
within         1    
without        1    
won            1    
work           1    
workgroup      1    
worlds         1    
worst          1    
wrong          1    
wronged        1    
www            1    
year           1    
york           1    
you            2    
